wine_name,price,overall_rating,is_cellar_defender
Cabernet Sauvignon,574.99,4.3,False
Barolo,570.0,4.6,False
Barolo,570.0,4.5,False
Barolo,570.0,4.5,False
Barolo,570.0,4.5,False
Barolo,570.0,4.5,False
Barolo,570.0,4.4,False
Barolo,570.0,4.4,False
Barolo,570.0,4.4,False
Barolo,570.0,4.4,False
Barolo,570.0,4.3,False
Chambertin Clos de B?e Grand Cru,569.99,4.2,False
Gevrey-Chambertin 1er Cru Les Cazetiers,565.95,4.5,False
Bolgheri Superiore,560.99,4.6,False
Bolgheri Superiore,560.99,4.6,False
Bolgheri Superiore,560.99,4.6,False
Bolgheri Superiore,560.99,4.6,False
Bolgheri Superiore,560.99,4.6,False
Bolgheri Superiore,560.99,4.6,False
Saint-Emilion Grand Cru (Premier Grand Cru Class?),560.99,4.6,False
Bolgheri Superiore,560.99,4.5,False
Falletto Barolo Le Rocche del Falletto,552.99,4.5,False
Saint-Emilion Grand Cru (Premier Grand Cru Class?),550.0,4.6,False
Saint-Emilion Grand Cru (Premier Grand Cru Class?),550.0,4.6,False
Saint-Emilion Grand Cru (Premier Grand Cru Class?),550.0,4.5,False
Saint-Emilion Grand Cru (Premier Grand Cru Class?),550.0,4.5,False
Saint-Emilion Grand Cru (Premier Grand Cru Class?),550.0,4.4,False
Saint-Emilion Grand Cru (Premier Grand Cru Class?),550.0,4.3,False
Amarone della Valpolicella Classico,549.99,4.7,False
Tenuta Tignanello 'Solaia',549.99,4.6,False
Bin 707 Cabernet Sauvignon,549.99,4.4,False
Helms Vineyard Cabernet Sauvignon,549.97,4.8,False
Helms Vineyard Cabernet Sauvignon,549.97,4.6,False
Red,549.95,4.7,False
Maya,549.95,4.7,False
Maya,549.95,4.7,False
Maya,549.95,4.7,False
Red,549.95,4.6,False
Maya,549.95,4.6,False
Maya,549.95,4.6,False
Maya,549.95,4.6,False
Maya,549.95,4.6,False
Red,549.95,4.5,False
Red,549.95,4.5,False
Maya,549.95,4.5,False
Maya,549.95,4.5,False
Maya,549.95,4.4,False
Cornas 'Reynard',548.95,4.5,False
Cornas 'Reynard',548.95,4.5,False
Cornas 'Reynard',548.95,4.5,False
Cornas 'Reynard',548.95,4.4,False
Cornas 'Reynard',548.95,4.4,False
Cornas 'Reynard',548.95,4.4,False
Cornas 'Reynard',548.95,4.4,False
Cornas 'Reynard',548.95,4.3,False
Falletto Barolo,545.99,4.3,False
La Joie,539.97,4.3,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),538.95,4.7,False
Saint-Julien (Grand Cru Class?),535.0,4.4,False
Saint-Julien (Grand Cru Class?),535.0,4.3,False
Saint-Julien (Grand Cru Class?),535.0,4.3,False
Ermitage Le Pavillon,532.95,4.6,False
Ermitage Le Pavillon,532.95,4.4,False
Helms Vineyard Cabernet Sauvignon,530.39,4.7,False
Helms Vineyard Cabernet Sauvignon,530.39,4.5,False
Chambertin Clos de B?e Grand Cru,529.95,4.4,False
Riserva vigneto Pozzo dell'Annunziata Barbera d'Alba,526.99,4.7,False
Le Petit Mouton de Mouton Rothschild Pauillac,526.95,4.4,False
Le Petit Mouton de Mouton Rothschild Pauillac,526.95,4.2,False
Barolo Riserva Villero,525.0,4.7,False
Barolo Riserva Villero,525.0,4.6,False
Saint-Est?he (Grand Cru Class?),525.0,4.3,False
Saint-Est?he (Grand Cru Class?),525.0,4.2,False
Saint-Est?he (Grand Cru Class?),525.0,4.2,False
Saint-Est?he (Grand Cru Class?),525.0,4.0,False
Saint-Est?he (Grand Cru Class?),525.0,4.0,False
Saint-Est?he (Grand Cru Class?),525.0,3.9,False
Saint-Est?he (Grand Cru Class?),525.0,3.9,False
Saint-Est?he (Grand Cru Class?),525.0,3.8,False
Veneto Alzero Cabernet,524.99,4.7,False
Mazy-Chambertin Grand Cru,524.95,4.5,False
Red,522.5,4.7,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),520.0,4.5,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),520.0,4.4,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),520.0,4.3,False
